MSSubClass,MSZoning,Neighborhood,OverallQual,YearRemodAdd,RoofStyle,MasVnrType,ExterQual,BsmtQual,BsmtExposure,HeatingQC,CentralAir,FirstFlrSF,GrLivArea,BsmtFullBath,KitchenQual,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,PavedDrive,LotFrontage
0,0.75,0.863636364,0.777777778,0.049180328,0,0,0.666666667,0.75,0.75,1,1,0.559760409,0.523250393,0,0.666666667,0,0.2,0.8,1,0.75,1,0.46117107
0,0.75,0.363636364,0.444444444,0.049180328,0,0.666666667,0.666666667,0.5,0.25,1,1,0.434538943,0.406196417,0.333333333,0.666666667,0,0.2,0.8,0.666666667,0.25,1,0.45606561
0.588235294,0.75,0.954545455,0.888888889,0.098360656,1,0.666666667,1,1,0.25,1,1,0.627204949,0.586295905,0.333333333,1,0.333333333,0.8,0.8,0.666666667,0.5,1,0.394699272
0,0.75,0.454545455,0.666666667,0.163934426,0,0,0.666666667,0.75,1,1,1,0.566920173,0.529943165,0.333333333,0.666666667,0.333333333,0.4,0.8,0.666666667,0.5,1,0.388581117
0,0.75,0.363636364,0.555555556,0.737704918,0,0.666666667,0.333333333,0.5,0.25,0.75,1,0.549025848,0.513215987,0,0.333333333,0.333333333,0.8,0.8,0.666666667,0.5,1,0.577658092
0.588235294,0.75,0.954545455,0.888888889,0.016393443,1,0.666666667,1,1,0.25,1,1,0.616247804,0.576053433,0.333333333,1,0.333333333,0.8,0.8,1,0.75,1,0.418208121
0,0.75,0.681818182,0.888888889,0.049180328,0,0,0.666666667,1,0.25,1,1,0.6374335,0.595857305,0,1,0,0.2,0.8,1,0.5,1,0.65126074
0.411764706,0.75,0.136363636,0.444444444,0.098360656,0,0,0.333333333,0.5,0.25,0.75,1,0.506042878,0.66684462,0.666666667,0.333333333,0,0.2,0,0,0,0,0.429425342
0.294117647,0.25,0.227272727,0.777777778,0.213114754,1,0,0.333333333,0.5,0.25,0.25,1,0.34584746,0.568490787,0,0.666666667,0.333333333,0.8,0.4,0.333333333,0.25,1,0.388581117
0.235294118,0.75,0.545454545,0.666666667,0.475409836,0,0.666666667,0.333333333,0.75,0.25,0.5,1,0.54015906,0.750128537,0.333333333,0.666666667,0.666666667,0.6,0.8,0.666666667,0.5,1,0.495063747
0.058823529,0.25,0.227272727,0.333333333,0.131147541,1,0.333333333,0.333333333,0.25,0.25,0.5,1,0.461581399,0.431475046,0,0.333333333,0,0.2,0.4,0.333333333,0.5,1,0.321096624
0.294117647,0.75,0.727272727,0.777777778,0.93442623,0,0,0.333333333,0.75,0.25,0.25,1,0.326747077,0.535347625,0,0.666666667,0.666666667,0.8,0.4,0.333333333,0.5,1,0.388581117
0,0.75,0.409090909,0.444444444,0.016393443,0,0,0.333333333,0.75,0.25,1,1,0.457882776,0.428017663,0,0.333333333,0,0.2,0,0,0,1,0.445638443
0.352941176,0.75,0.590909091,0.666666667,0.262295082,0,0.666666667,0.333333333,0.75,0.25,0.75,1,0.336184807,0.527090325,0,0.666666667,0.333333333,0.6,0.8,1,0.5,1,0.388581117
0,0.75,0.363636364,0.333333333,0.639344262,0,0,0.333333333,0.5,0.25,0.75,1,0.359675084,0.336215505,0,0.333333333,0,0.2,0.4,0.333333333,0.5,1,0.445638443
