Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,FirstFlrSF,SecondFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,LotFrontage_na,MasVnrArea_na,GarageYrBlt_na
6.272877007,0,0.75,0.388581117,0.630998505,1,1,0.333333333,0.333333333,1,1,0,0.727272727,0.4,1,0.75,0.6,0.77815125,0.5,0.367647059,0.540983607,1,0,0.1,0.5,0.333333333,0,0.666666667,1,1,0.5,0.75,0.25,0.166666667,0.215981573,0.666666667,0,0.379006038,0.333060556,1,0.5,1,1,0.764014211,0,0,0.71418187,0.333333333,0,1,0,0.5,0.23104906,0.333333333,0.772942881,0,0.666666667,0.6,0.8,0.299065421,0.666666667,0.5,0.341325811,0.666666667,1,1,0,0,0.362318841,0,0,0,0,0.75,1,0,0.442114109,0.250186815,0.666666667,0,12.20918779,1,1,0
6.198478716,0.407006649,0.75,0.490407837,0.389061226,1,1,0,0.333333333,1,0,0,0.363636364,0,1,0.75,0.2,0.77815125,0.885621875,0.477941176,0.93442623,0,0,0.1,0.1,0,0,0.333333333,1,0.5,0.5,0.75,0.25,0.333333333,0.07140326,0.5,0.111940299,0.110543428,0.131914894,1,0.5,1,0.666666667,0.398757792,0.331196581,0,0.549293707,0.333333333,0,0.333333333,0,0.375,0,0,0.470880288,1,0.666666667,0.6,0.8,0.607476636,0.333333333,0.25,0.169252468,0.666666667,1,1,0,0,0.057971014,0,0,0,0,0.5,1,0,0.836828837,0,0.666666667,0.75,11.79810441,0,0,0
6.131226489,0.407006649,0.75,0.388581117,0.329917853,1,1,0.333333333,0,1,0.5,0,0.181818182,0.4,1,0.75,0.2,0.698970004,0.630929754,0.433823529,0.983606557,0,0,0.3,0.2,0.333333333,0.100625,0.333333333,1,0.5,0.5,0.75,0.25,0.5,0.032778172,0.666666667,0,0.243381328,0.11603928,1,0.5,1,1,0.406963689,0.11965812,0,0.453307183,0.333333333,0,0.333333333,0,0.375,0,0.666666667,0.470880288,1,0.333333333,0.6,0.4,0.551401869,0.333333333,0.25,0.248236953,0.666666667,1,1,0,0,0.449275362,0,0,0,0,0.75,1,0,0.783091851,0.750186691,0.666666667,0.75,11.60823564,1,0,0
5.634789603,0.487991956,0.75,0.50869007,0.399404167,1,1,0,0.333333333,1,0,0,0.772727273,0.4,1,0.75,1,0.84509804,0.73248676,0.227941176,0.524590164,1,0,0.7,0.7,0.666666667,0.186875,0.333333333,1,0.5,0.75,0.75,0.25,0.333333333,0.069454288,0.666666667,0,0.356711565,0.1898527,1,1,1,1,0.469855304,0.462606838,0,0.636998624,0,0,0.666666667,0.5,0.5,0,0.333333333,0.712414374,1,0.333333333,0.6,0.8,0.289719626,1,0.5,0.356135402,0.666666667,1,1,0.336056009,0.213893967,0,0,0,0,0,0.75,1,0,0.442114109,0.500249004,0.666666667,0.75,12.16525065,0,0,0
6.486160789,0.923665934,0.25,0,0.050187673,1,1,0,0.333333333,1,0,0,0.090909091,0.4,1,0.5,1,0.77815125,0.73248676,0.286764706,0.655737705,0,0,0.6,0.5,0.666666667,0.238125,0.333333333,1,0.5,0.5,0.75,0.25,0.833333333,0,0.666666667,0,0.243845797,0.085924714,1,0.5,1,1,0.171149235,0.302884615,0,0.419061481,0,0,0.333333333,0.5,0.375,0,0.333333333,0.564575034,1,0,0.2,0.4,0.364485981,0.333333333,0.25,0.186177715,0.666666667,1,1,0,0,0,0,0,0,0,0.75,1,0,0.442114109,1,0.666666667,0.5,11.38509209,0,0,0
6.921658184,0.180103312,0.25,0.388581117,0.335012433,1,1,0,0.333333333,1,0,0,0.227272727,0.4,1,0.75,0.6,0.698970004,0.630929754,0.727941176,0.06557377,1,0,0.3,0.4,0,0,0.333333333,1,0.25,0.5,0.75,0.25,0.666666667,0.043763288,0.5,0.315468114,0.143985137,0.167266776,0.5,0.5,0,1,0.423230696,0,0,0.395625743,0.333333333,0,0.333333333,0,0.25,0,0.333333333,0.356207187,0,0,0.2,0.4,0.495327103,0.333333333,0.25,0.197461213,0.666666667,1,1,0,0.054844607,0.40942029,0,0,0,0,0.75,1,0,0.721057054,0.750186691,0.666666667,0.75,11.35040654,0,0,0
7.247080585,0,0.75,0.313618794,0.481974891,1,1,0.333333333,0.333333333,1,1,0,0.818181818,0.6,1,0.75,0.6,0.903089987,0.73248676,0,0.016393443,0,0,1,1,1,0.0525,0.666666667,1,1,0.75,0.75,1,1,0.164599575,0.666666667,0,0.25824431,0.24304419,1,1,1,1,0.559243777,0,0,0.522767457,0.333333333,0,0.666666667,0,0.375,0,0.666666667,0.564575034,1,0,0.2,0.8,0,0.333333333,0.75,0.531734838,0.666666667,1,1,0.196032672,0.29250457,0,0,0,0,0,0.75,1,0,0.836828837,0.250186815,0.666666667,0.75,12.55292652,0,0,0
6.400257445,0.407006649,0.25,0.321096624,0.378685467,1,1,0,0,1,0,0,0,0.4,1,0.75,0.2,0.77815125,0.815464877,0.514705882,0.950819672,0,0,0.1,0.1,0,0,0.333333333,0.666666667,1,0.5,0.75,0.25,0.833333333,0,0.666666667,0,0.362285183,0.127659574,1,0.5,1,1,0.320969356,0.31784188,0,0.500580705,0,0,0.333333333,0.5,0.375,0,0.666666667,0.564575034,1,0.333333333,0.8,0.4,0.261682243,0.333333333,0.25,0.383638928,0.666666667,1,0.5,0,0.296160878,0,0,0.2625,0,0,0.75,1,0,1,0.250186815,0.666666667,0.75,11.85651517,0,0,0
7.075808864,0.487991956,0.75,0.751625215,0.486627347,1,1,0.333333333,0.333333333,1,0.5,0,1,0.4,1,0.75,1,1,0.73248676,0.080882353,0.196721311,1,0,0.1,0.5,0,0,0.666666667,1,1,1,0.75,0.75,1,0.371367824,0.666666667,0,0.139340455,0.392144026,1,1,1,1,0.748032515,1.103098291,0,0.91810369,0.333333333,0,1,0.5,0.5,0,1,0.827087475,1,0.666666667,0.6,0.8,0.102803738,1,0.75,0.573342736,0.666666667,1,1,0.199533256,0.142595978,0,0,0,0.75203252,1,0.5,1,0,0.783091851,0.250186815,0.666666667,0.25,13.5211395,0,0,0
6.533788838,0.923665934,1,0.388581117,0.267713,1,1,1,0.333333333,1,0.25,0,0.818181818,0.4,1,1,1,0.84509804,0.73248676,0.022058824,0.06557377,0,0,0.3,0.2,0,0,0.666666667,1,1,0.75,0.75,0.25,1,0.042345854,0.666666667,0,0.144914073,0.090180033,1,1,1,1,0.189441396,0.294337607,0,0.42228621,0,0,0.666666667,0.5,0.25,0,0.666666667,0.356207187,1,0,0.2,0.4,0.028037383,0.333333333,0.5,0.338504937,0.666666667,1,1,0,0.109689214,0,0,0,0,0,0.75,1,0,0.442114109,0.250186815,0.666666667,0.75,11.9103584,1,0,0
